dcode,hfcode,u5mort_end,avg_visits_mo_end,treatment,avg_charge_drugs,avg_charge_gentreat,avg_charge_injection,avg_charge_del,equip,wtime,hfx_ratio,NGO_ratio,PFP_ratio,STTH_ratio,OthGov_ratio,Other_ratio,polite1,attention1,express_free1,avgDEL,avgOP,avg_eryth,avg_chloro,avg_cotrim,avg_quinine,avg_meb,villagen,village1,village3,hhs,hh_vill,newspaper,radio,dist432,distLC1,nopower04,DMU,drinksafely_2004,ws1,frac_alevel
1,79,19.74983,1166.555,0,0,.01176470611,.35294118524,1,.4526316,137.2255,.3450797,.0398794,.343216,.2105125,.0594158,0,2.968421,3.273684,3.884211,17,809.3333,,2083.3333,1583.3333,833.33333,1250,21,4,6,991,47.19048,0,0,20.5,.5,31,1,1,0,.2857143
1,80,13.34074,697.3334,1,.0153846154,0,.36000001431,.71428573132,.2647059,158.2568,.4322172,0,.2759408,.2120323,.0712836,0,2.985294,3.102941,3.794118,19,605,166.66667,8583.3333,3500,83.333333,3250,28,4,9,1626,58.07143,0,0,33,.2,0,1,1,0,.3333333
1,81,23.67798,280.3333,1,.01666666754,0,.40000000596,,.2786885,132.3788,.3715117,.0121693,.220267,.1766407,.2194113,0,2.983607,3.147541,3.967213,1,289.3333,,1500,750,166.66667,1083.3333,16,1,4,854,53.375,0,0,19,1,31,0,1,0,0
1,82,13.72213,305.5555,0,0,0,.35714286566,.71428573132,.4,145.5143,.3396569,.0300483,.2725267,.1073374,.2412482,0,2.942857,3.171429,3.857143,1,896.6667,,2500,1333.3333,583.33333,1250,16,1,5,838,52.375,0,0,3,2,31,1,0,0,.2
1,83,0,1194.889,1,0,0,.47999998927,1,.2040816,178.4717,.4604883,.1528665,.1728381,.1775957,.0360318,0,2.857143,2.877551,3.755102,20,886.3333,0,2333.3333,1500,500,1666.6667,11,4,3,754,68.54546,0,0,12,.4,31,1,1,0,.75
1,151,0,569.2222,0,0,0,.27777779102,.66666668653,.5531915,164.1277,.4234686,.021411,.2241309,.1758428,.1509093,.0042373,3.148936,3.191489,3.914894,16,957.6667,0,4750,2166.6667,1166.6667,1500,24,2,6,1340,55.83333,0,0,12,.5,0,1,1,0,0
2,88,16.7364,826.6666,0,0,0,0,.28571429849,.1780822,175.0833,.4118821,.0189,.1125004,.3974858,.0520467,.0032376,2.835616,2.876712,3.712329,14,1353.333,583.33333,2750,2916.6667,83.333333,1416.6667,40,0,30,3255,81.375,0,1,30,1,0,1,1,0,.2
2,89,8.102633,1291,1,0,0,.47999998927,.14285714924,.0851064,254.8936,.3303472,.0052861,.0791158,.5151404,.056839,.0003176,3.06383,3.212766,3.808511,30.5,968.6667,500,5666.6667,4333.3333,250,2833.3333,44,5,26,3145,71.47727,0,0,12.8,.1,0,1,1,0,0
2,90,29.42078,786.4444,0,.01754385978,.01999999955,.04166666791,0,.1785714,162.5082,.4506646,.0152138,.1381073,.2466466,.1475575,0,3.089286,3.107143,3.267857,1,793.3333,500,8625,8125,333.33333,3375,58,4,23,2195,37.84483,0,0,12,1,0,0,1,1,0
2,93,28.50356,1926.778,1,0,0,0,0,.0243902,137.45,.4691072,.0320951,.0776272,.4048578,.0124756,0,3,2.926829,3.390244,6,955.6667,333.33333,3333.3333,2083.3333,500,1666.6667,24,1,9,1426,59.41667,0,0,2,.8,0,1,1,0,0
4,55,12.25741,521.5555,1,0,.64864861965,.06976744533,1,.5365854,137.0392,.1308711,.008901,.1738074,.6403202,.0418102,.00429,3.097561,3.097561,3.609756,25.5,418,0,1833.3333,750,0,916.66667,25,8,10,3331,133.24,0,0,5,.1,31,1,1,0,.3333333
4,56,12.62715,843.2222,1,.03333333507,.10000000149,.23333333433,.64705884457,.5531915,131.0727,.2491723,0,.1188717,.5605137,.0461032,.0247218,3.319149,3.382979,3.702128,17,393.6667,0,1500,416.66667,0,500,18,2,5,2024,112.4444,0,0,.5,.5,31,1,1,0,.6666667
4,59,13.69863,422.5556,0,0,.03571428731,.24137930572,.75,.5,83.2,.1809313,.0871871,.0810553,.5334954,.0736033,.0353065,3.083333,3.25,3.75,11,388.6667,250,1916.6667,700,0,916.66667,24,4,6,3051,127.125,0,0,10,.1,31,1,1,0,0
4,61,9.416688,460.4444,0,0,.08695652336,.17857143283,.60000002384,.4893617,82.60606,.1317189,.0275573,.1722888,.5178126,.1323971,.0182253,3.106383,3.297872,3.87234,0,234.6667,0,1250,583.33333,0,613.25,26,1,8,3530,135.7692,0,0,4,0,31,0,1,0,0
4,1059,9.120852,1387.222,1,.03174603358,.61666667461,.22388060391,1,.4067796,110.6625,.2312146,.0134089,.148974,.5512245,.0300608,.0251172,3.220339,3.237288,3.813559,45.5,907.3333,0,2500,1166.6667,0,1500,21,6,7,3017,143.6667,0,0,.2,.1,10,1,0,0,.1666667
5,9,27.38163,807.8889,0,0,.01612903178,.14285714924,.5,.65,214.8442,.3214631,.0188347,.2657967,.3370234,.0568821,0,3.05,3.116667,3.65,6,1146.667,1583.3333,5583.3333,8000,333.33333,2666.6667,25,1,8,2564,102.56,1,0,10,1,31,1,0,0,.4
5,10,29.16554,655.2222,1,0,.02666666731,0,0,.5571429,178.6512,.2411329,.012706,.2498779,.3952127,.0984366,0,2.842857,2.985714,3.571429,2.5,473.3333,416.66667,5416.6667,6000,333.33333,2083.3333,31,3,11,2899,93.51613,0,0,5,.2,31,1,0,0,0
5,1002,7.99467,595.8889,1,0,.03797468171,.38888889551,0,.5915493,157.1196,.306238,.0003781,.2241625,.3968899,.0707504,.001581,3.014085,3.070423,3.746479,7,602,500,7500,4500,1166.6667,1250,29,1,8,3217,110.931,0,1,5,1.5,31,1,0,0,0
5,1003,24.3038,657.2222,1,0,0,.08333333582,0,.6,157.9091,.306184,.0329243,.3371081,.3094683,.0143153,0,3.12,3.2,3.74,12.5,643.3333,416.66667,2583.3333,3083.3333,83.333333,1166.6667,17,1,8,1750,102.9412,0,0,7,1,31,1,0,0,.2
5,1005,18.4261,776.6667,1,0,0,.13333334029,0,.5555556,150.8382,.2725678,.0320195,.2643941,.4042262,.0267923,0,3,3.018518,3.777778,3.5,929.3333,2250,9166.6667,11750,83.333333,3666.6667,25,2,11,2344,93.76,0,1,4,2,0,1,0,0,.1666667
5,1006,28.34199,540.1111,0,.02380952425,.02857142873,0,1,.5384616,128.8182,.3562375,.0023419,.202004,.3985261,.0280399,.0023419,2.923077,3.205128,3.692308,0,495,500,2333.3333,3166.6667,833.33333,1583.3333,9,1,3,1036,115.1111,0,1,7,.2,31,1,0,0,.3333333
5,1007,32.48031,563.4445,0,0,.01612903178,.07407407463,,.5294118,159.8182,.3004877,.0143092,.2681453,.3839058,.0254554,.0043011,2.784314,2.960784,3.745098,9.5,705,166.66667,4583.3333,2916.6667,0,3333.3333,46,4,18,3211,69.80434,0,1,.5,.5,31,1,0,0,.1666667
5,1009,34.40038,839.1111,0,0,.0612244904,.06896551698,,.5178571,138.8816,.2165488,.0061836,.3254857,.3589243,.0869725,.0056497,2.910714,3.071429,3.75,4.5,391,333.33333,2666.6667,2083.3333,0,1500,29,2,11,2842,98,0,0,6,.5,31,1,0,0,.25
7,107,16.97313,1024,1,0,0,0,.5,.3103448,125.8049,.2997085,.0073413,.2858689,.278522,.1014608,.0243386,2.896552,3.172414,3.896552,1,578.3333,833.33333,3250,2833.3333,833.33333,916.66667,23,1,5,1648,71.65218,0,0,16,.1,31,0,0,0,0
7,109,0,689.0001,1,.01886792481,0,.05000000075,,.7254902,170.7206,.2226098,.0025428,.3844599,.3057424,.0846451,0,3.039216,3.215686,3.823529,0,312.3333,250,5000,3166.6667,83.333333,1333.3333,24,3,9,1822,75.91666,0,0,13,.5,31,1,0,1,.5
7,110,29.77667,686.6667,0,0,0,0,,.6923077,140.2766,.2279123,.0030558,.3975119,.2771898,.0943302,0,3.076923,3.230769,3.846154,.5,567.3333,166.66667,4166.6667,3166.6667,100,1916.6667,7,2,3,490,70,0,0,30,5,0,1,1,0,.25
7,111,12.91248,351,0,0,.01851851866,0,0,.28125,132.3667,.2070256,.0048164,.2254905,.3656542,.1926368,.0043765,2.6875,2.9375,3.65625,0,256,,2900,1100,250,1200,17,1,4,2728,160.4706,0,0,14,.5,31,0,0,0,.5
7,113,26.29417,342,0,0,.02631578967,0,.66666668653,.3384615,148.2235,.3420247,.0093486,.2429004,.283958,.1124462,.0002396,3.030769,3.123077,3.738461,0,1051,111.11111,1666.6667,2111.1111,333.33333,1333.3333,27,1,12,3492,129.3333,0,1,6,.5,31,0,0,0,.25
7,114,16.609,840.3333,1,0,.06666667014,0,,.3142857,128.6604,.2015086,.0034692,.2983633,.3965155,.096639,0,3,3.114286,3.714286,0,460.6667,1750,2833.3333,2000,750,1166.6667,43,2,20,2742,63.76744,0,0,16,.1,2,0,0,0,0
7,116,6.31579,1176,0,0,0,0,.66666668653,.3421053,129.7818,.2858705,.006746,.3196932,.2933111,.093297,0,3.078947,3.210526,3.894737,9.5,955.6667,83.333333,4750,4500,750,2083.3333,23,1,6,1776,77.21739,1,0,8,1,31,1,0,0,.2
7,1086,0,847.5555,1,0,.05263157934,0,0,.3548387,165.8,.3197391,.0059361,.2101166,.3568433,.0966122,.0107527,2.870968,3.16129,3.83871,2,538.3333,83.333333,2500,2166.6667,0,1083.3333,11,2,3,668,60.72727,0,0,12,1,0,1,0,0,.4
7,1088,15.38462,361.8889,0,0,.02941176482,.10526315868,1,.4074074,147.6757,.2975407,0,.1782881,.2604254,.2637459,0,2.740741,3.222222,3.925926,1,578.6667,83.333333,1666.6667,1916.6667,416.66667,583.33333,17,1,6,1351,79.47059,0,0,15,.1,31,1,0,0,0
8,31,4.062288,575.4445,0,0,.05714285746,.4375,.5,.7297297,105.5102,.2936351,.0182645,.3114101,.320278,.0564123,0,3.243243,3.378378,3.864865,4,395.6667,250,1166.6667,1416.6667,333.33333,1916.6667,13,3,4,1159,89.15385,0,0,20,.5,4,1,0,0,.4285714
8,32,17.82178,764.2222,1,.03333333507,.04081632569,.35135135055,.80000001192,.6727273,187.9565,.2719374,.1093641,.1756982,.3626778,.044216,.0361064,3.272727,3.418182,3.927273,3.5,496.6667,500,3416.6667,3000,750,2666.6667,45,4,17,3667,81.48889,1,0,14.4,.5,3,1,0,0,0
8,33,18.78914,612.5556,1,.07999999821,.09090909362,.27272728086,1,.6071429,126.1429,.1024847,.0374774,.2412307,.5296929,.0398153,.045707,3.107143,3.214286,3.857143,10.5,315.3333,83.333333,1083.3333,1166.6667,250,750,14,4,5,1791,127.9286,0,0,7,.3,31,1,0,0,.1428571
9,16,12.76143,865.8889,1,.05263157934,.47058823705,0,.75,.6363636,86.16129,.2456788,.0020336,.1870561,.3073629,.2084308,.0233629,3.272727,3.309091,3.872727,4.5,127.3333,333.33333,2000,2750,250,1083.3333,16,3,5,1586,99.125,0,0,.5,.5,3,1,0,0,.2
9,22,14.72995,871.2222,0,.01587301679,.01754385978,.10714285821,.88888889551,.7017544,143.8028,.3275572,.0350241,.2034683,.3352951,.0940399,0,3.206897,3.310345,3.862069,14,699.6667,416.66667,2916.6667,3175,250,1416.6667,37,2,17,2772,74.91892,0,1,4,.5,0,1,0,0,.2222222
9,1018,9.474931,782.8889,1,0,.01298701297,.36585366726,.53846156597,.5921053,143.6264,.3493811,.0130778,.1298375,.3184172,.1861623,0,3.078947,3.236842,3.842105,10.5,421,333.33333,2500,500,250,2166.6667,18,2,9,2078,115.4444,0,1,12,1,31,1,0,0,.1
9,1019,11.85771,537.1111,0,0,0,.03846153989,.20000000298,.6734694,138.5,.265205,.0103755,.3301426,.3182844,.0647298,.0072016,3.061224,3.163265,3.77551,10.5,518.3333,333.33333,2000,333.33333,100,750,18,3,7,2300,127.7778,1,1,11.3,1,3,1,0,0,.2222222
9,1023,5.988024,754.1111,1,0,.09090909362,0,.75,.7647059,134.8333,.3585082,.0056804,.2032852,.3323973,.0933979,.0033003,3.264706,3.294118,3.970588,6,1133,333.33333,1750,3750,250,1666.6667,21,1,11,2522,120.0952,0,1,8,.3,31,1,0,0,.0833333
9,1025,27.30997,726.2223,0,0,.01694915257,.07894736528,.54545456171,.6393443,107.924,.4339217,.0117494,.1689639,.3022859,.081777,.0013021,3.065574,3.131148,3.606557,6,543,583.33333,2916.6667,3500,333.33333,1750,27,1,9,2394,88.66666,0,1,5,.2,31,1,0,0,.25
10,70,0,1003.778,0,.01999999955,.01818181761,.80769228935,.83333331347,.175,173.2143,.4647978,0,.2511637,.2176508,.0635905,.0027972,3.125,3.25,3.825,25,617,250,2250,1416.6667,0,1000,13,0,5,1141,87.76923,0,0,5,2,0,1,1,0,.2
10,72,15.06907,622,1,.01960784383,0,.6451612711,.75,.2619048,175.3519,.4287658,.0166667,.2387491,.2198347,.0800115,.00625,2.952381,3.095238,3.857143,16.5,32,0,2250,916.66667,0,833.33333,13,1,5,1233,94.84615,0,0,7,.1,31,1,1,0,.3333333
10,73,16.32653,734.1111,1,0,.03703703731,.51612901688,.33333334327,.1219512,207.6167,.4347964,.0012285,.2920252,.1821968,.0868355,0,3.02439,3.170732,3.926829,4,1758.667,666.66667,4333.3333,3250,750,3000,8,1,2,792,99,0,0,12,2,31,1,1,0,.6
10,75,24.16107,953.0001,0,.02040816285,.03508771956,.43333333731,.66666668653,.1481481,221.4242,.3346814,.0612429,.2651232,.2419736,.0877036,.0092754,2.814815,2.888889,3.796296,14.5,470,83.333333,2100,300,0,636.36364,8,1,3,1095,136.875,0,0,30,2,31,1,0,0,.25
11,29,15.52393,1299.333,0,.15151515603,.25806450844,.05882352963,.5,.75,123.119,.2126868,.0601583,.2874173,.363307,.0431214,.0333092,3.107143,3.25,3.857143,10,684,500,2333.3333,2416.6667,250,1666.6667,29,4,11,3508,120.9655,0,0,.1,.1,31,1,0,0,.1428571
11,30,23.72714,433.4444,1,.02380952425,.03703703731,.5,.25,.4705882,95.17476,.121938,.0215283,.2007983,.4622514,.1487703,.0392298,2.970588,3.205882,3.838235,0,244,83.333333,1166.6667,1500,0,916.66667,32,2,11,3510,109.6875,0,0,8,.4,3,0,0,0,.6666667
11,34,41.30809,871.2222,0,.01666666754,0,.69230771065,.33333334327,.7222222,116.1733,.3070218,.0111255,.1820011,.4133855,.0604554,.0232835,3.166667,3.296296,3.851852,1.5,406.6667,416.66667,1333.3333,833.33333,333.33333,1000,24,1,11,2603,108.4583,0,0,12.8,0,7,1,0,0,.25
11,37,8.94521,1108.778,1,.26666668057,.20833332837,.36734694242,.89999997616,.6578947,97.5679,.2345049,.008814,.193442,.4435734,.0707485,.0487072,3.131579,3.315789,3.868421,9.5,335,250,1250,416.66667,166.66667,750,24,2,9,3045,126.875,1,0,13,3.2,2,1,1,0,.2
11,1028,13.35559,1027.556,0,0,0,.5,.5,.6956522,113.9153,.2979365,.0133754,.1988876,.3967848,.0815993,.0096802,3.26087,3.369565,3.956522,10.5,954,416.66667,1666.6667,1000,0,833.33333,36,1,16,3938,109.3889,1,1,.5,.5,31,1,0,0,.3333333
